pair,price,amount,type,timestamp,symbol,entry_price,entry_time,status,exit_price,exit_time,pnl
ETHUSDT,2611.49,1.0,buy,2025-05-17 16:04:00,ETHUSDT,2611.49,2025-05-16 12:15:00,closed,2592.65,2025-05-16 19:55:00,-18.83999999999969
ETHUSDT,2568.7,1.0,buy,2025-05-17 16:04:00,ETHUSDT,2568.7,2025-05-16 20:30:00,closed,2506.53,2025-05-17 04:25:00,-62.16999999999962
XRPUSDT,2.4131,1.0,buy,2025-05-17 16:04:00,XRPUSDT,2.4131,2025-05-16 08:05:00,closed,2.4342,2025-05-16 11:30:00,0.02110000000000012
XRPUSDT,2.4199,1.0,buy,2025-05-17 16:04:00,XRPUSDT,2.4199,2025-05-16 12:20:00,closed,2.4196,2025-05-16 19:55:00,-0.000300000000000189
XRPUSDT,2.4166,1.0,buy,2025-05-17 16:04:00,XRPUSDT,2.4166,2025-05-16 20:00:00,closed,2.3709,2025-05-17 03:55:00,-0.045700000000000074
BNBUSDT,654.5,1.0,buy,2025-05-17 16:04:01,BNBUSDT,654.5,2025-05-16 11:40:00,closed,653.65,2025-05-16 16:00:00,-0.8500000000000227
BNBUSDT,649.23,1.0,buy,2025-05-17 16:04:01,BNBUSDT,649.23,2025-05-16 17:50:00,closed,650.04,2025-05-16 19:25:00,0.8099999999999454
BNBUSDT,647.42,1.0,buy,2025-05-17 16:04:01,BNBUSDT,647.42,2025-05-16 20:30:00,closed,647.3,2025-05-16 23:35:00,-0.12000000000000455
SOLUSDT,172.23,1.0,buy,2025-05-17 16:04:01,SOLUSDT,172.23,2025-05-16 12:55:00,closed,173.7,2025-05-16 13:35:00,1.4699999999999989
SOLUSDT,171.04,1.0,buy,2025-05-17 16:04:01,SOLUSDT,171.04,2025-05-16 14:40:00,closed,171.48,2025-05-16 19:55:00,0.4399999999999977
SOLUSDT,169.6,1.0,buy,2025-05-17 16:04:01,SOLUSDT,169.6,2025-05-16 20:30:00,closed,167.71,2025-05-17 03:50:00,-1.8899999999999864
USDCUSDT,0.999,1.0,buy,2025-05-17 16:04:01,USDCUSDT,0.999,2025-05-16 12:05:00,closed,0.9989,2025-05-16 18:40:00,-9.999999999998899e-05
USDCUSDT,0.9988,1.0,buy,2025-05-17 16:04:01,USDCUSDT,0.9988,2025-05-16 18:45:00,closed,0.999,2025-05-16 19:30:00,0.00019999999999997797
USDCUSDT,0.9988,1.0,buy,2025-05-17 16:04:01,USDCUSDT,0.9988,2025-05-16 20:55:00,closed,0.999,2025-05-16 23:45:00,0.00019999999999997797
USDCUSDT,0.9988,1.0,buy,2025-05-17 16:04:01,USDCUSDT,0.9988,2025-05-17 04:55:00,closed,0.999,2025-05-17 05:15:00,0.00019999999999997797
DOGEUSDT,0.226933,1.0,buy,2025-05-17 16:04:02,DOGEUSDT,0.226933,2025-05-16 11:40:00,closed,0.228357,2025-05-16 13:20:00,0.0014240000000000086
DOGEUSDT,0.225,1.0,buy,2025-05-17 16:04:02,DOGEUSDT,0.225,2025-05-16 14:40:00,closed,0.230504,2025-05-16 16:00:00,0.005503999999999981
DOGEUSDT,0.225163,1.0,buy,2025-05-17 16:04:02,DOGEUSDT,0.225163,2025-05-16 17:50:00,closed,0.22689,2025-05-16 19:55:00,0.0017270000000000063
ADAUSDT,0.77,1.0,buy,2025-05-17 16:04:02,ADAUSDT,0.77,2025-05-16 14:40:00,closed,0.7815,2025-05-16 16:00:00,0.011499999999999955
ADAUSDT,0.7613,1.0,buy,2025-05-17 16:04:02,ADAUSDT,0.7613,2025-05-16 20:40:00,closed,0.7581,2025-05-17 04:15:00,-0.0031999999999999806
TRXUSDT,0.272671,1.0,buy,2025-05-17 16:04:02,TRXUSDT,0.272671,2025-05-16 09:00:00,closed,0.273107,2025-05-16 14:15:00,0.00043599999999999195
TRXUSDT,0.272839,1.0,buy,2025-05-17 16:04:02,TRXUSDT,0.272839,2025-05-16 14:20:00,closed,0.273065,2025-05-16 14:40:00,0.00022600000000000398
TRXUSDT,0.272336,1.0,buy,2025-05-17 16:04:02,TRXUSDT,0.272336,2025-05-16 15:20:00,closed,0.273308,2025-05-16 19:00:00,0.0009719999999999729
SUIUSDT,3.8473,1.0,buy,2025-05-17 16:04:03,SUIUSDT,3.8473,2025-05-16 08:50:00,closed,3.8834,2025-05-16 10:05:00,0.0360999999999998
SUIUSDT,3.8907,1.0,buy,2025-05-17 16:04:03,SUIUSDT,3.8907,2025-05-16 10:15:00,closed,3.9234,2025-05-16 10:35:00,0.03270000000000017
SUIUSDT,3.9183,1.0,buy,2025-05-17 16:04:03,SUIUSDT,3.9183,2025-05-16 11:45:00,closed,3.8737,2025-05-16 19:30:00,-0.04459999999999997
SUIUSDT,3.8319,1.0,buy,2025-05-17 16:04:03,SUIUSDT,3.8319,2025-05-16 20:30:00,closed,3.8142,2025-05-17 04:15:00,-0.01770000000000005
